epoch,lr,train_loss,val_accuracy,val_macro_f1,train_ms,predict_ms,dbscan_ms,total_ms,gflops,n_uncertain,n_clusters
0,0.05,0.527828,0.924577,0.832511,106.024,512.018,4.54789,633.366,67.4104,420,7
10,0.0496984,0.0380992,0.941207,0.875833,62.0803,470.552,154.677,1903.16,115.127,3758,22
20,0.0488009,0.0306734,0.94938,0.890305,61.6636,467.257,4.5693,3002.06,115.905,561,7
30,0.0473297,0.0276116,0.95202,0.897347,61.2961,467.441,7.63558,4101.81,116.599,790,11
40,0.0453209,0.0276636,0.94923,0.889865,61.6497,474.757,5.98552,5209.35,115.931,382,10
50,0.0428241,0.0251351,0.949788,0.890857,61.1284,471.158,2.31251,6296.63,116.919,297,8
60,0.0399007,0.0210801,0.954919,0.90385,60.6317,475.135,3.48905,7386.62,117.877,436,10
70,0.0366228,0.0217877,0.952088,0.897661,64.7029,472.44,2.3388,8483.66,110.46,303,8
80,0.0330709,0.0232016,0.953792,0.901717,59.712,470.477,2.81112,9563.07,119.693,347,6
90,0.0293326,0.0190081,0.952145,0.898113,61.1164,474.254,18.9528,10671.3,116.942,967,6
100,0.0255,0.0196543,0.951171,0.894521,60.9545,473.914,1.90064,11759.5,117.253,168,4
110,0.0216674,0.0179685,0.954752,0.903389,61.2122,473.79,1.80772,12853,116.759,144,3
120,0.0179291,0.0172727,0.951718,0.895555,60.9866,474.999,1.80176,13945.9,117.191,113,2
130,0.0143772,0.0187998,0.953657,0.900479,61.202,474.453,1.82969,15035.9,116.779,147,4
140,0.0110993,0.0191097,0.954264,0.901698,60.8533,473.976,1.80933,16127.1,117.448,116,2
150,0.00817588,0.0144497,0.951617,0.895148,60.3404,475.104,1.69638,17225.1,118.446,99,1
160,0.00567908,0.0170053,0.954919,0.903325,61.3695,474.607,1.71964,18314.8,116.46,90,1
170,0.00367034,0.0175144,0.955415,0.904579,60.3117,474.028,1.7164,19404.6,118.503,100,1
180,0.00219911,0.0156452,0.955321,0.904371,60.6335,470.806,1.68248,20492.6,117.874,86,1
190,0.00130164,0.0152567,0.955371,0.904473,61.1485,470.618,1.70139,21584.5,116.881,84,1
